"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","COUNTRY_CODE","LAUNCH_DATE"
9.84981312,0.2239207,51.3527,200.9445,2.0215,358.7999,9192.843,146.196,4873.176,756.24,"DEBRIS","SMALL","CIS",2011
14.18163422,0.0159211,98.5838,318.1118,59.7857,301.8977,7209.708,101.54,946.359,716.786,"DEBRIS","SMALL","PRC",1999
13.42164453,0.0372858,99.5237,26.8253,308.4403,48.3804,7479.364,107.289,1380.103,822.355,"DEBRIS","SMALL","PRC",1999
14.70006004,0.0046893,73.9918,126.3861,318.6649,53.5461,7039.186,97.959,694.06,628.042,"DEBRIS","SMALL","CIS",1993
13.96890553,0.0138566,97.8244,230.6145,127.8914,233.4878,7282.72,103.086,1005.498,803.671,"DEBRIS","SMALL","PRC",1999
14.08078855,0.0135837,98.3571,240.3535,49.3313,311.9572,7244.09,102.267,964.357,767.554,"DEBRIS","SMALL","PRC",1999
14.03027757,0.0063564,82.827,107.4924,143.1356,217.4211,7261.466,102.635,929.488,837.175,"DEBRIS","SMALL","CIS",1981
13.76438172,0.0175649,100.7913,332.2838,3.9196,356.328,7354.684,104.618,1105.734,847.365,"DEBRIS","SMALL","PRC",1999
14.27475654,0.0084508,98.7629,12.4379,231.8179,127.5368,7178.318,100.877,860.846,739.521,"DEBRIS","SMALL","PRC",1999
14.15082984,0.001119,98.7736,15.9951,11.7733,348.37,7220.167,101.761,850.111,833.953,"DEBRIS","SMALL","US",2000
14.83386359,0.0005573,97.8992,352.9478,89.0702,271.115,6996.792,97.075,622.557,614.758,"DEBRIS","SMALL","CIS",1994
13.11243015,0.0253329,105.8272,210.2002,241.2937,242.4324,7596.491,109.819,1410.798,1025.915,"DEBRIS","SMALL","US",1968
15.30391415,0.0005573,97.3363,56.3043,260.291,99.7702,6852.781,94.094,478.465,470.827,"DEBRIS","SMALL","PRC",2018
14.91613086,0.0015056,97.4486,167.6389,52.687,307.5719,6971.042,96.54,603.403,582.412,"TBA","SMALL","TBD",2017
14.92074284,0.0013492,97.998,249.9768,68.2176,292.0477,6969.606,96.51,600.874,582.067,"PAYLOAD","SMALL","US",2014
14.56283501,0.0240419,98.1454,4.7485,128.1269,234.187,7083.337,98.882,875.499,534.905,"DEBRIS","SMALL","PRC",1999
